Div,Date,HomeTeam,AwayTeam,FTHG,FTAG
E0,17/06/2020,Aston Villa,Sheffield United,0,0
E0,17/06/2020,Man City,Arsenal,3,0
E0,19/06/2020,Norwich,Southampton,0,3
E0,19/06/2020,Tottenham,Man United,1,1
E0,20/06/2020,Watford,Leicester,1,1
E0,20/06/2020,Brighton,Arsenal,2,1
E0,20/06/2020,West Ham,Wolves,0,2
E0,20/06/2020,Bournemouth,Crystal Palace,0,2
E0,21/06/2020,Newcastle,Sheffield United,3,0
E0,21/06/2020,Aston Villa,Chelsea,1,2
E0,21/06/2020,Everton,Liverpool,0,0
E0,22/06/2020,Man City,Burnley,5,0
E0,23/06/2020,Leicester,Brighton,0,0
E0,23/06/2020,Tottenham,West Ham,2,0
E0,24/06/2020,Man United,Sheffield United,3,0
E0,24/06/2020,Newcastle,Aston Villa,1,1
E0,24/06/2020,Norwich,Everton,0,1
E0,24/06/2020,Wolves,Bournemouth,1,0
E0,24/06/2020,Liverpool,Crystal Palace,4,0
E0,25/06/2020,Burnley,Watford,1,0
E0,25/06/2020,Southampton,Arsenal,0,2
E0,25/06/2020,Chelsea,Man City,2,1
E0,27/06/2020,Aston Villa,Wolves,0,1
E0,28/06/2020,Watford,Southampton,1,3
E0,29/06/2020,Crystal Palace,Burnley,0,1
E0,30/06/2020,Brighton,Man United,0,3
E0,01/07/2020,Arsenal,Norwich,4,0
E0,01/07/2020,Bournemouth,Newcastle,1,4
E0,01/07/2020,Everton,Leicester,2,1
E0,01/07/2020,West Ham,Chelsea,3,2
E0,02/07/2020,Sheffield United,Tottenham,3,1
E0,02/07/2020,Man City,Liverpool,4,0
E0,04/07/2020,Norwich,Brighton,0,1
E0,04/07/2020,Leicester,Crystal Palace,3,0
E0,04/07/2020,Man United,Bournemouth,5,2
E0,04/07/2020,Wolves,Arsenal,0,2
E0,04/07/2020,Chelsea,Watford,3,0
E0,05/07/2020,Burnley,Sheffield United,1,1
E0,05/07/2020,Newcastle,West Ham,2,2
E0,05/07/2020,Liverpool,Aston Villa,2,0
E0,05/07/2020,Southampton,Man City,1,0
E0,06/07/2020,Tottenham,Everton,1,0
E0,07/07/2020,Crystal Palace,Chelsea,2,3
E0,07/07/2020,Watford,Norwich,2,1
E0,07/07/2020,Arsenal,Leicester,1,1
E0,08/07/2020,Man City,Newcastle,5,0
E0,08/07/2020,Sheffield United,Wolves,1,0
E0,08/07/2020,West Ham,Burnley,0,1
E0,08/07/2020,Brighton,Liverpool,1,3
E0,09/07/2020,Bournemouth,Tottenham,0,0
E0,09/07/2020,Everton,Southampton,1,1
E0,09/07/2020,Aston Villa,Man United,0,3
E0,11/07/2020,Norwich,West Ham,0,4
E0,11/07/2020,Watford,Newcastle,2,1
E0,11/07/2020,Liverpool,Burnley,1,1
E0,11/07/2020,Sheffield United,Chelsea,3,0
E0,11/07/2020,Brighton,Man City,0,5
E0,12/07/2020,Wolves,Everton,3,0
E0,12/07/2020,Aston Villa,Crystal Palace,2,0
E0,12/07/2020,Tottenham,Arsenal,2,1
E0,12/07/2020,Bournemouth,Leicester,4,1
E0,13/07/2020,Man United,Southampton,2,2
E0,14/07/2020,Chelsea,Norwich,1,0
E0,15/07/2020,Burnley,Wolves,1,1
E0,15/07/2020,Man City,Bournemouth,2,1
E0,15/07/2020,Newcastle,Tottenham,1,3
