Div,Date,HomeTeam,AwayTeam,FTHG,FTAG
E2,2019-09-21,AFC Wimbledon,Bristol Rvs,1,3
E2,2019-09-21,Bolton,Sunderland,1,1
E2,2019-09-21,Doncaster,Peterboro,2,0
E2,2019-09-21,Fleetwood Town,Rochdale,2,1
E2,2019-09-21,Gillingham,Ipswich,0,1
E2,2019-09-21,Lincoln,Oxford,0,6
E2,2019-09-21,Milton Keynes Dons,Southend,0,1
E2,2019-09-21,Rotherham,Shrewsbury,0,0
E2,2019-09-21,Tranmere,Burton,2,1
E2,2019-09-21,Wycombe,Portsmouth,1,0
E2,2019-09-27,Blackpool,Lincoln,2,1
E2,2019-09-28,Bristol Rvs,Rotherham,1,0
E2,2019-09-28,Coventry,Doncaster,1,1
E2,2019-09-28,Ipswich,Tranmere,4,1
E2,2019-09-28,Oxford,Gillingham,3,0
E2,2019-09-28,Peterboro,AFC Wimbledon,3,2
E2,2019-09-28,Portsmouth,Bolton,1,0
E2,2019-09-28,Rochdale,Wycombe,0,3
E2,2019-09-28,Shrewsbury,Fleetwood Town,0,3
E2,2019-09-28,Southend,Accrington,0,1
E2,2019-09-28,Sunderland,Milton Keynes Dons,2,1
E2,2019-10-05,Accrington,Oxford,2,2
E2,2019-10-05,AFC Wimbledon,Rochdale,3,2
E2,2019-10-05,Doncaster,Portsmouth,1,2
E2,2019-10-05,Fleetwood Town,Ipswich,0,1
E2,2019-10-05,Gillingham,Southend,3,1
E2,2019-10-05,Lincoln,Sunderland,2,0
E2,2019-10-05,Milton Keynes Dons,Burton,0,3
E2,2019-10-05,Rotherham,Coventry,4,0
E2,2019-10-05,Tranmere,Shrewsbury,0,1
E2,2019-10-05,Wycombe,Peterboro,3,3
E2,2019-10-07,Bolton,Blackpool,0,0
E2,2019-10-12,Blackpool,Rotherham,1,2
E2,2019-10-12,Bristol Rvs,Milton Keynes Dons,1,0
E2,2019-10-12,Oxford,Doncaster,3,0
E2,2019-10-12,Peterboro,Lincoln,2,0
E2,2019-10-12,Portsmouth,Gillingham,0,0
E2,2019-10-12,Rochdale,Accrington,2,1
E2,2019-10-12,Southend,AFC Wimbledon,1,4
E2,2019-10-13,Coventry,Tranmere,0,1
E2,2019-10-18,Lincoln,Shrewsbury,0,0
E2,2019-10-18,Tranmere,Southend,1,1
E2,2019-10-19,AFC Wimbledon,Portsmouth,1,0
E2,2019-10-19,Bolton,Rochdale,1,3
E2,2019-10-19,Doncaster,Bristol Rvs,2,0
E2,2019-10-19,Fleetwood Town,Burton,4,1
E2,2019-10-19,Gillingham,Peterboro,1,2
E2,2019-10-19,Milton Keynes Dons,Coventry,0,0
E2,2019-10-19,Rotherham,Oxford,1,2
E2,2019-10-19,Wycombe,Sunderland,1,0
E2,2019-10-20,Accrington,Ipswich,2,0
E2,2019-10-22,Blackpool,Wycombe,1,1
E2,2019-10-22,Bristol Rvs,Bolton,0,2
E2,2019-10-22,Burton,AFC Wimbledon,1,0
E2,2019-10-22,Portsmouth,Lincoln,1,0
E2,2019-10-22,Rochdale,Milton Keynes Dons,2,0
E2,2019-10-22,Shrewsbury,Gillingham,1,1
E2,2019-10-22,Southend,Doncaster,1,7
E2,2019-10-22,Sunderland,Tranmere,5,0
E2,2019-10-23,Coventry,Fleetwood Town,2,1
E2,2019-10-23,Ipswich,Rotherham,0,2
